method,fraction,mean_f1
Random,0.01,0.6957967935105314
Random,0.1,0.7521445732142668
Random,0.2,0.7597260470695639
LC,0.01,0.6894732412628197
LC,0.1,0.7374987189928371
LC,0.2,0.7404819527815426
MNLP,0.01,0.6944055383217769
MNLP,0.1,0.7374974936376757
MNLP,0.2,0.7450162664667208
Coreset,0.01,0.7035700759879555
Coreset,0.1,0.7543373295596437
Coreset,0.2,0.7671110224316625
EmbeddingsKM,0.01,0.7039933383976752
EmbeddingsKM,0.1,0.7561628601929089
EmbeddingsKM,0.2,0.7639632470614883
ClusterMargin,0.01,0.6933153328140396
ClusterMargin,0.1,0.7504350675773719
ClusterMargin,0.2,0.7620400252925325
